step,mean_vulnerable,mean_constant
446,510.6982578819682,510.58386683087406
447,511.5753950565772,511.2311774991644
448,508.4141017409494,508.37357428219894
449,509.4327818910768,512.3972253290103
450,509.6079948453164,511.69954206893044
451,508.4327247254377,511.66780010198846
452,511.6560977553097,510.58886365128205
453,511.76454663534776,510.62781843864764
454,508.9447114974626,509.21590319481726
455,509.96941948366225,508.4505937430772
456,511.01583283401095,511.3032717156656
457,509.33487809115974,511.6686757677283
458,510.56514438912166,512.0313580215089
459,510.48375602179675,510.98146769817464
460,510.8320053901227,510.6593827752948
461,510.4466686745114,511.6207422860934
462,512.9423069570709,513.6389861005227
463,512.3914363141233,509.88014207484133
464,511.10261515330933,511.91311163335155
465,510.70267614871767,511.12649155056863
466,511.3733964918827,511.3404783763841
467,511.1625272680947,513.1673814579522
468,510.2550759802347,510.75141853159903
469,510.7002632804825,512.6365779476982
470,510.05417203197084,510.918881351376
471,511.2921649818737,510.2785027383973
472,509.5767484187601,510.808156631671
473,510.35627509368965,511.9487312552729
474,512.9557777135818,511.9060134538622
475,509.32598059608137,511.718946411688
476,512.19947063938,510.6431290801817
477,510.46359626698376,511.969921220069
478,513.4703538518212,512.4164828342364
479,508.73375538343333,511.86347243025784
480,508.46178678588643,511.6685517463448
481,512.9594991889741,510.8405540660666
482,511.96166553628814,511.2681078854538
483,510.5280071621429,511.4807630086902
484,509.42160897510473,511.41681849528175
485,512.0752725275136,511.1518477675958
486,512.2043242282991,511.5571991632607
487,511.70216378167163,512.7378639542462
488,513.4657135396096,511.5031354181164
489,510.3011464201388,508.695669940189
490,511.66602526085376,511.80881440449144
491,510.87036643078386,511.9804040183293
492,510.8789908981058,510.6530057720092
493,513.6799693550482,508.79643774023
494,511.1149988013763,510.18443096893367
495,509.6815473180182,509.5379843996698
496,511.20767950350506,509.62949593837556
497,509.85136768265335,509.67528012313596
498,511.15274304122073,510.78093426084246
499,513.0157298713601,511.5818286899746
500,513.6099734918597,510.2287023993071
501,510.3696796674942,511.24196234703356
502,509.4165599247712,511.5009281935635
503,510.5882244306804,509.81863756497535
504,510.2467256256997,509.86382914948774
505,512.937715383779,512.6661887390303
506,512.5284067106619,507.749957384184
507,509.12959088027566,507.8042207689594
508,510.3123598945623,509.26143110063714
509,510.17342457295985,511.33838018401343
510,507.9359112425124,510.59835538555507
511,511.4260011887254,511.2848370312066
512,511.56963244954085,509.5683250922542
513,512.1202681226863,511.3579250638897
514,511.7005932569821,513.392543941961
515,511.184073430561,510.319484288594
516,510.5548740072011,509.7381572008527
517,511.68965195008803,511.0047386730093
518,512.0415559152293,511.5539861147381
519,510.7991692574655,511.85083092682066
520,510.34419469350115,510.660320181711
521,510.32153099768794,511.0580331461617
522,512.8294707111298,511.3437950589295
523,511.7272229396383,512.5924741063334
524,509.14721464753336,510.0155401568321
525,511.46996558762174,509.97310928626877
526,510.3834580470447,511.4741159117453
527,510.0950656723812,512.6214083986284
528,511.47600223010164,511.4409071072764
529,508.36609787025634,511.9372437367929
530,512.8710387462003,508.8793128055467
531,510.11754318367224,513.3626320992244
532,509.9852563767139,511.7865999841237
533,510.6150821224732,511.2542252885798
534,511.51857575014077,510.67856050714397
535,510.56410205663656,510.1975864481807
536,510.6798008104176,512.7988114309181
537,510.6708346413065,508.87858327064566
538,511.40074400298755,508.8612997915905
539,510.6346505239174,511.1851442787978
540,510.8934434986136,512.5592376806312
541,511.14738059188,510.44022823220854
542,510.96886968920086,511.8904933517878
543,511.71330830493264,510.0975026483764
544,509.9390631840805,512.0462363261689
545,511.24262109917396,511.05273560814675
546,511.51607827895924,509.908642427485
547,509.4474698523119,513.4333179798452
548,511.33529354822315,513.9249609740676
549,510.42130058040544,509.34603825290833
550,509.9136731167083,513.4664440964962
551,512.1579026606743,510.23642447314575
552,511.7847392474274,511.5867646680144
553,512.7586582016894,511.70031086367965
554,510.3940735377278,512.9610489363225
555,509.6054506026127,510.3635988906314
556,509.84626664831643,510.9584193911802
557,512.8395348696796,511.7081504763828
558,511.78348302891266,511.9549611542049
559,511.7994652187732,513.3198453204542
560,510.81461227892606,508.44792460739853
561,510.47802286734986,510.8676318833493
562,510.5789428622555,511.82556822966467
563,510.3803804945517,512.712133494356
564,511.2228567433726,510.21974126196244
565,511.0074036343838,509.03986626193955
566,508.8669812289604,511.1059627700399
567,511.63176547352253,510.6278897411502
568,513.5492104761116,510.41326651454386
569,513.1363539592569,509.5288668798501
570,510.6364027167755,511.6227420947888
571,511.050326481268,513.2207654185355
572,511.0321633639101,510.23282112777815
573,511.1968878052698,512.3467237324849
574,511.42041641448316,512.5265983937699
575,511.638095750717,508.8086270084565
576,512.4086014885463,511.4949014496362
577,509.7527914025396,510.4310260259396
578,511.50967597857544,509.8103346951591
579,512.1839667104905,511.0809822021021
580,509.2837678712913,510.09067346786975
581,514.6786490822552,512.7229700220647
582,509.7034291149966,513.21975674089
583,510.01314621515826,510.9024337420826
584,509.4622451800862,510.05364538566954
585,513.0240490166037,512.1725804530388
586,509.0138162206685,508.25996725709985
587,510.0475593036637,510.76682275027156
588,507.8172692114756,511.43222552234266
